In addition to the standard errors in the tables, the flux densities involves ~3-5% systematic errors.

J1256-0547 (3C 279)
| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2020-03-15 03:07 |  97.5 |  7.88 (0.09) |  -0.10 (0.08) |  -0.37 (0.15) |   4.89 (1.43) | -52.41 ( 6.39) |
|2020-03-15 23:31 |  97.5 |  7.77 (0.13) |  -0.02 (0.01) |  -0.52 (0.14) |   6.75 (0.53) | -45.83 ( 0.47) |
|2020-03-16 00:55 |  97.5 |  7.90 (0.21) |  -0.04 (0.11) |  -0.50 (0.19) |   6.40 (1.91) | -47.29 ( 6.36) |
|2020-03-16 02:33 |  97.5 |  7.90 (0.11) |  -0.16 (0.19) |  -0.44 (0.11) |   5.98 (1.92) | -54.79 (11.23) |
|2020-03-16 02:46 |  97.5 |  7.94 (0.11) |  -0.10 (0.14) |  -0.41 (0.14) |   5.33 (1.79) | -51.97 ( 9.36) |
|2020-03-17 00:11 |  97.5 |  7.85 (0.21) |  -0.05 (0.03) |  -0.62 (0.16) |   7.95 (0.98) | -47.13 ( 1.50) |
|2020-03-17 01:45 |  97.5 |  7.67 (0.25) |  -0.15 (0.18) |  -0.51 (0.06) |   6.90 (1.42) | -53.03 ( 9.19) |
|2020-03-17 03:02 |  97.5 |  8.07 (0.14) |  -0.09 (0.07) |  -0.39 (0.16) |   4.95 (1.40) | -51.80 ( 5.71) |
|2020-03-17 03:14 |  97.5 |  7.80 (0.21) |  -0.07 (0.03) |  -0.33 (0.13) |   4.39 (0.90) | -51.22 ( 3.52) |
|2020-03-17 04:43 |  97.5 |  7.74 (0.24) |   0.02 (0.09) |  -0.39 (0.12) |   5.08 (1.37) | -43.77 ( 6.23) |
|2020-03-19 05:55 |  97.5 |  7.68 (0.08) |  -0.02 (0.02) |  -0.43 (0.03) |   5.61 (0.46) | -46.21 ( 1.64) |
|2021-01-21 02:47 |  97.5 |  7.92 (0.24) |   0.04 (0.01) |  -0.38 (0.13) |   4.88 (0.60) | -42.22 ( 1.27) |
|2021-01-21 03:23 |  97.5 |  7.82 (0.12) |   0.03 (0.02) |  -0.40 (0.20) |   5.06 (0.92) | -43.13 ( 1.81) |
|2021-01-28 08:30 |  97.5 |  9.03 (0.05) |   0.06 (0.01) |  -0.25 (0.01) |   2.80 (0.32) | -38.70 ( 0.87) |
|2021-01-28 08:30 |  97.5 |  8.99 (0.06) |   0.05 (0.01) |  -0.25 (0.01) |   2.87 (0.33) | -38.86 ( 1.06) |
|2021-02-06 02:22 |  97.5 |  9.75 (0.07) |   0.01 (0.01) |  -0.35 (0.02) |   3.60 (0.34) | -44.44 ( 0.71) |
|2021-02-06 02:22 |  97.5 |  9.74 (0.06) |   0.01 (0.01) |  -0.35 (0.01) |   3.62 (0.33) | -44.46 ( 0.67) |
|2021-02-06 03:16 |  97.5 |  9.79 (0.05) |   0.00 (0.01) |  -0.37 (0.01) |   3.73 (0.33) | -44.90 ( 0.93) |
|2021-02-06 03:41 |  97.5 |  9.63 (0.05) |   0.01 (0.01) |  -0.35 (0.00) |   3.62 (0.32) | -44.28 ( 0.59) |
|2021-02-06 04:11 |  97.5 |  9.64 (0.05) |  -0.00 (0.01) |  -0.36 (0.00) |   3.72 (0.31) | -45.11 ( 0.41) |
|2021-02-06 04:32 |  97.5 |  9.64 (0.05) |   0.01 (0.00) |  -0.36 (0.01) |   3.75 (0.31) | -44.03 ( 0.19) |
|2021-02-06 04:46 |  97.5 |  9.94 (0.05) |   0.01 (0.00) |  -0.37 (0.01) |   3.77 (0.31) | -44.58 ( 0.16) |
|2021-02-06 05:00 |  97.5 |  9.94 (0.05) |  -0.09 (0.00) |  -0.33 (0.01) |   3.44 (0.32) | -52.78 ( 0.32) |
|2021-02-06 05:10 |  97.5 | 10.08 (0.05) |   0.03 (0.01) |  -0.40 (0.01) |   4.02 (0.33) | -43.16 ( 0.97) |
|2021-02-06 05:36 |  97.5 | 10.11 (0.06) |  -0.01 (0.01) |  -0.38 (0.01) |   3.73 (0.32) | -45.68 ( 0.49) |
|2021-02-06 05:47 |  97.5 | 10.08 (0.06) |   0.01 (0.01) |  -0.46 (0.01) |   4.54 (0.32) | -44.28 ( 0.54) |
|2021-02-06 06:05 |  97.5 | 10.09 (0.05) |  -0.01 (0.01) |  -0.38 (0.01) |   3.76 (0.32) | -45.70 ( 0.59) |
|2021-02-08 01:55 |  97.5 | 10.10 (0.06) |   0.02 (0.01) |  -0.37 (0.00) |   3.63 (0.31) | -43.65 ( 0.69) |

| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2020-03-16 04:34 | 233.0 |  4.07 (0.06) |  -0.01 (0.06) |  -0.20 (0.01) |   4.87 (0.75) | -47.00 ( 8.66) |
|2020-03-18 00:51 | 233.0 |  3.79 (0.03) |  -0.07 (0.03) |  -0.17 (0.01) |   4.78 (0.56) | -56.94 ( 3.90) |
|2020-03-18 01:50 | 233.0 |  3.83 (0.06) |  -0.05 (0.01) |  -0.15 (0.03) |   4.21 (0.51) | -53.59 ( 1.99) |
|2020-03-18 03:04 | 233.0 |  3.91 (0.02) |  -0.01 (0.03) |  -0.17 (0.03) |   4.27 (0.82) | -45.93 ( 4.96) |
|2020-03-18 04:52 | 233.0 |  3.80 (0.03) |  -0.01 (0.03) |  -0.19 (0.01) |   5.08 (0.55) | -46.76 ( 4.14) |
|2020-03-18 05:03 | 233.0 |  3.89 (0.03) |  -0.02 (0.04) |  -0.19 (0.01) |   5.05 (0.68) | -48.46 ( 5.58) |
|2020-03-18 05:49 | 233.0 |  4.07 (0.05) |  -0.03 (0.01) |  -0.20 (0.01) |   4.96 (0.40) | -49.46 ( 1.82) |
|2021-01-21 04:12 | 233.0 |  4.99 (0.06) |  -0.10 (0.14) |  -0.13 (0.00) |   3.22 (0.60) | -63.69 (19.69) |
|2021-01-21 05:08 | 233.0 |  4.84 (0.07) |  -0.07 (0.10) |  -0.06 (0.07) |   1.94 (1.48) | -69.15 (25.63) |
|2021-02-07 01:02 | 233.0 |  5.78 (0.06) |  -0.04 (0.02) |  -0.11 (0.03) |   2.05 (0.53) | -54.97 ( 5.73) |
|2021-02-07 01:23 | 233.0 |  5.95 (0.04) |  -0.00 (0.03) |  -0.09 (0.02) |   1.59 (0.48) | -46.24 ( 9.22) |
|2021-02-07 01:59 | 233.0 |  6.30 (0.05) |  -0.00 (0.00) |  -0.10 (0.00) |   1.65 (0.31) | -46.20 ( 0.65) |
|2021-02-07 03:04 | 233.0 |  6.51 (0.04) |  -0.04 (0.00) |  -0.12 (0.00) |   1.89 (0.31) | -54.97 ( 0.44) |
|2021-02-07 04:39 | 233.0 |  6.20 (0.04) |   0.00 (0.01) |  -0.14 (0.00) |   2.19 (0.32) | -44.55 ( 1.23) |
|2021-02-07 06:56 | 233.0 |  6.28 (0.05) |   0.05 (0.06) |  -0.15 (0.00) |   2.57 (0.38) | -35.64 ( 9.60) |

